Plant_ID,Beetle_ID,Species,Sex,Chamber_Num,Location_Name,Plant_Height_End1,Plant_Heigh_End2,Dead_Leaves_YN,Num_Aphids_DayTen,Aphid_Drop_DayTen,Notes,Date_Exp_Comp,Time_Exp_Start,Plant_Height_Start1,Plant_Height_Start2,Time_Exp_Comp,Num_Aphids_Innoc,Trial,Light,Temp,Treatment,Date_Exp_Start,Date_Exp_Five,HOBO Placement Time,HOBO Placement Date,Aphid_Drop_DayFive,Num_Aphids_DayFive
4,1,C7,,4,ThalerLower,25,24,N,60,0,NA,5/29/2019,1215,10,18,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,0,60
4,5,C7,,3,Powers,14,12,Y,0,0,"Pred still alive DAY FIVE, PRED DIED DAY TEN",5/29/2019,1255,11.5,10,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
5,8,C7,,7,ThalerWhiteFar,23,20,N,90,2,NA,5/29/2019,1230,10,13,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,3,75
5,9,C7,,3,Powers,13,20,Y,0,0,"Pred still alive DAY FIVE, PRED DIED DAY TEN",5/29/2019,1255,9,15,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
5,10,C7,,4,ThalerLower,23,20,N,160,5,NA,5/29/2019,1215,11,8,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,6,61
5,10,C7,,5,ThalerRoomRight,20,30,N,0,0,NA,5/29/2019,1241,17,7,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,0,0
4,11,C7,,8,ThalerWhiteNear,31,28,Y,27,7,FLIES,5/29/2019,1230,12,4,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,15,105
6,16,C7,,1,Guterman56,27,26,N,0,0,"Pred still alive DAY FIVE, PRED DIED DAY TEN",5/29/2019,144,11,10,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,0,0
4,17,C7,,2,Guterman57,33,27,N,18,3,NA,5/29/2019,157,15,7,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,14
4,19,C7,,7,ThalerWhiteFar,26,25,N,140,8,NA,5/29/2019,1230,12,12,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,1,100
6,21,C7,,7,ThalerWhiteFar,23,25,N,0,0,EGGS Day ten,5/29/2019,1230,9,10,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,0,5
4,22,C7,,5,ThalerRoomRight,31,29,N,0,0,NA,5/29/2019,1241,7,12,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,1,1
6,23,C7,,2,Guterman57,31,32,N,330,5,NA,5/29/2019,157,11,17,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,97
5,26,C7,,2,Guterman57,34,26,N,320,16,NA,5/29/2019,157,14,15,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,48
5,30,C7,,8,ThalerWhiteNear,30,31,N,21,3,FLIES,5/29/2019,1230,12,11,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,6,120
4,31,C7,,6,ThalerUpper,28,29,N,170,0,NA,5/29/2019,1204,13,14,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,9,159
4,32,C7,,1,Guterman56,30,12,Y,0,0,"Pred still alive on day five, flies inside day ten, pred died day ten",5/29/2019,144,20,6,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,0,0
5,33,C7,,6,ThalerUpper,23,28,N,180,4,NA,5/29/2019,1204,16,18,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,1,135
6,35,C7,,4,ThalerLower,20,18,N,6,0,eggs day five,5/29/2019,1215,9,7,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,0,21
6,36,C7,,3,Powers,19,13,Y,0,0,"Pred still alive DAY FIVE, PRED DIED DAY TEN",5/29/2019,1255,17,13,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
1,41,CMAC,M,1,Guterman56,18,32,N,51,0,NA,5/29/2019,144,8,15,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,1,50
2,41,CMAC,M,8,ThalerWhiteNear,24,19,N,400,5,NA,6/10/2019,1717,17,10,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,3,170
2,42,CMAC,,5,ThalerRoomRight,20,22,Y,80,53,eggs day five,5/29/2019,1241,9,13,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,2,150
1,44,CMAC,F,5,ThalerRoomRight,12,22,N,350,49,NA,5/29/2019,1241,7,15,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,4,105
3,44,CMAC,F,4,ThalerLower,19,30,N,350,0,NA,6/10/2019,1643,9,18,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,0,60
1,45,CMAC,F,6,ThalerUpper,31,29,N,360,3,NA,5/29/2019,1204,16,16,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,2,150
3,45,CMAC,F,8,ThalerWhiteNear,26,27,N,400,4,NA,6/10/2019,1717,15,19,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,6,230
2,46,CMAC,F,3,Powers,14,18,Y,0,0,Pred still alive DAYS FIVE AND TEN,5/29/2019,1255,14,13,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
1,46,CMAC,F,8,ThalerWhiteNear,26,30,N,230,0,NA,6/10/2019,1717,15,17,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,12,60
1,47,CMAC,,3,Powers,15,19,Y,0,0,"Pred still alive DAY FIVE, PRED DIED DAY TEN",5/29/2019,1255,7,11,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
3,48,CMAC,,3,Powers,9,18,Y,0,0,"Pred still alive DAY FIVE, PRED DIED DAY TEN",5/29/2019,1255,8,15,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
3,50,CMAC,,2,Guterman57,30,23,N,65,5,eggs day five,5/29/2019,157,12,8,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,47
1,51,CMAC,M,4,ThalerLower,29,27,N,90,2,NA,5/29/2019,1215,12,9,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,0,60
1,51,CMAC,M,5,ThalerRoomRight,10,20,Y,500,200,NA,6/10/2019,1916,16,22,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,13,130
2,53,CMAC,M,2,Guterman57,29,26,N,120,16,NA,5/29/2019,157,13,10,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,1,37
1,53,CMAC,M,2,Guterman57,22,25,Y,500,22,PRED DIED; FLIES,6/10/2019,2015,20,19,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,200,450
