Chamber_Num,Chamber_Name,Plant_Num,Date_Start,Time_Start,Time_Five,Time_Ten,Date_End,Plant_Height_Beginning,Plant_Height_Five,Plant_Height_Ten,Growth,Temp,Light,Plant_Dying_YN,Notes
,ThalerLeft,1,7/27/2019,1730,1530,1705,8/6/2019,15,26,30,,25,16,,NA
,ThalerLeft,2,7/27/2019,1730,1530,1705,8/6/2019,16,26,30,,25,16,,NA
,ThalerLeft,3,7/27/2019,1730,1530,1705,8/6/2019,13,22,25,,25,16,,NA
,ThalerLeft,4,7/27/2019,1730,1530,1705,8/6/2019,14,22,26,,25,16,,NA
,ThalerLeft,5,7/27/2019,1730,1530,1705,8/6/2019,11,18,23,,25,16,,NA
,ThalerLeft,6,7/27/2019,1730,1530,1705,8/6/2019,13,20,26,,25,16,,NA
,ThalerLeft,7,7/27/2019,1730,1530,1705,8/6/2019,12,22,26,,25,16,,dying
,ThalerLeft,8,7/27/2019,1730,1530,1705,8/6/2019,13,18,20,,25,16,,NA
,ThalerLeft,9,7/27/2019,1730,1530,1705,8/6/2019,9,19,20,,25,16,,NA
,ThalerRight,1,7/27/2019,1730,1532,1710,8/6/2019,14,23,34,,25,16,,NA
,ThalerRight,2,7/27/2019,1730,1532,1710,8/6/2019,16,24,26,,25,16,,NA
,ThalerRight,3,7/27/2019,1730,1532,1710,8/6/2019,16,24,28,,25,16,,NA
,ThalerRight,4,7/27/2019,1730,1532,1710,8/6/2019,15,27,30,,25,16,,dead leaves
,ThalerRight,5,7/27/2019,1730,1532,1710,8/6/2019,14,26,30,,25,16,,NA
,ThalerRight,6,7/27/2019,1730,1532,1710,8/6/2019,15,20,28,,25,16,,NA
,ThalerRight,7,7/27/2019,1730,1532,1710,8/6/2019,13,20,23,,25,16,,NA
,ThalerRight,8,7/27/2019,1730,1532,1710,8/6/2019,15,27,30,,25,16,,NA
,ThalerRight,9,7/27/2019,1730,1532,1710,8/6/2019,13,22,28,,25,16,,NA
,SparksUpper,1,7/27/2019,1658,1541,1530,8/6/2019,15,21,30,,15,24,,NA
,SparksUpper,2,7/27/2019,1658,1541,1530,8/6/2019,13,20,31,,15,24,,NA
,SparksUpper,3,7/27/2019,1658,1541,1530,8/6/2019,19,31,32,,15,24,,NA
,SparksUpper,4,7/27/2019,1658,1541,1530,8/6/2019,18,25,30,,15,24,,NA
,SparksUpper,5,7/27/2019,1658,1541,1530,8/6/2019,15,28,32,,15,24,,dead leaves
,SparksUpper,6,7/27/2019,1658,1541,1530,8/6/2019,12,20,29,,15,24,,NA
,SparksUpper,7,7/27/2019,1658,1541,1530,8/6/2019,13,22,32,,15,24,,NA
,SparksUpper,8,7/27/2019,1658,1541,1530,8/6/2019,17,25,31,,15,24,,NA
,SparksUpper,9,7/27/2019,1658,1541,1530,8/6/2019,18,26,31,,15,24,,NA
,SparksUpper,10,7/27/2019,1658,1542,1530,8/6/2019,11,19,27,,15,24,,Initially In upper for two days
,SparksUpper,11,7/27/2019,1658,1542,1530,8/6/2019,5,17,28,,15,24,,Initially In upper for two days
,SparksUpper,12,7/27/2019,1658,1542,1530,8/6/2019,12,22,31,,15,24,,Initially In upper for two days
,SparksUpper,13,7/27/2019,1658,1542,1530,8/6/2019,16,25,31,,15,24,,Initially In upper for two days
,SparksUpper,14,7/27/2019,1658,1542,1530,8/6/2019,14,23,30,,15,24,,Initially In upper for two days
,SparksUpper,15,7/27/2019,1658,1542,1530,8/6/2019,13,22,31,,15,24,,Initially In upper for two days
,SparksUpper,16,7/27/2019,1658,1542,1530,8/6/2019,8,21,28,,15,24,,Initially In upper for two days
,SparksUpper,17,7/27/2019,1658,1542,1530,8/6/2019,17,26,32,,15,24,,Initially In upper for two days
,SparksUpper,18,7/27/2019,1658,1542,1530,8/6/2019,13,21,30,,15,24,,Initially In upper for two days
,ThalerUpper,1,7/27/2019,1740,1523,1700,8/6/2019,14,23,30,,25,24,,NA
,ThalerUpper,2,7/27/2019,1740,1523,1700,8/6/2019,8,16,29,,25,24,,NA
,ThalerUpper,3,7/27/2019,1740,1523,1700,8/6/2019,13,26,30,,25,24,,NA
,ThalerUpper,4,7/27/2019,1740,1523,1700,8/6/2019,11,20,28,,25,24,,dying
,ThalerUpper,5,7/27/2019,1740,1523,1700,8/6/2019,14,21,28,,25,24,,NA
,ThalerUpper,6,7/27/2019,1740,1523,1700,8/6/2019,17,24,30,,25,24,,NA
,ThalerUpper,7,7/27/2019,1740,1523,1700,8/6/2019,19,28,29,,25,24,,dead leaves
,ThalerUpper,8,7/27/2019,1740,1523,1700,8/6/2019,7,18,24,,25,24,,NA
,ThalerUpper,9,7/27/2019,1740,1523,1700,8/6/2019,14,20,26,,25,24,,NA
,ThalerLower,1,7/27/2019,1750,1525,1700,8/6/2019,16,24,30,,25,24,,NA
,ThalerLower,2,7/27/2019,1750,1525,1700,8/6/2019,17,23,27,,25,24,,NA
,ThalerLower,3,7/27/2019,1750,1525,1700,8/6/2019,15,24,30,,25,24,,NA
,ThalerLower,4,7/27/2019,1750,1525,1700,8/6/2019,21,30,31,,25,24,,NA
,ThalerLower,5,7/27/2019,1750,1525,1700,8/6/2019,11,21,21,,25,24,,NA
,ThalerLower,6,7/27/2019,1750,1525,1700,8/6/2019,10,19,20,,25,24,,NA
,ThalerLower,7,7/27/2019,1750,1525,1700,8/6/2019,10,22,29,,25,24,,NA
,ThalerLower,8,7/27/2019,1750,1525,1700,8/6/2019,8,16,22,,25,24,,NA
,ThalerLower,9,7/27/2019,1750,1525,1700,8/6/2019,12,21,17,,25,24,,NA
,ThalerFar,1,7/27/2019,1750,1517,1647,8/6/2019,19,22,26,,15,16,,NA
,ThalerFar,2,7/27/2019,1750,1517,1647,8/6/2019,10,15,24,,15,16,,NA
,ThalerFar,3,7/27/2019,1750,1517,1647,8/6/2019,17,21,27,,15,16,,NA
,ThalerFar,4,7/27/2019,1750,1517,1647,8/6/2019,16,18,27,,15,16,,NA
,ThalerFar,5,7/27/2019,1750,1517,1647,8/6/2019,17,25,31,,15,16,,NA
,ThalerFar,6,7/27/2019,1750,1517,1647,8/6/2019,16,20,25,,15,16,,NA
,ThalerFar,7,7/27/2019,1750,1517,1647,8/6/2019,15,18,26,,15,16,,NA
,ThalerFar,8,7/27/2019,1750,1517,1647,8/6/2019,12,16,26,,15,16,,NA
,ThalerFar,9,7/27/2019,1750,1517,1647,8/6/2019,15,18,24,,15,16,,NA
,ThalerNear,1,7/27/2019,1756,1521,1652,8/6/2019,18,24,30,,15,16,,NA
,ThalerNear,2,7/27/2019,1756,1521,1652,8/6/2019,17,22,28,,15,16,,NA
,ThalerNear,3,7/27/2019,1756,1521,1652,8/6/2019,15,23,28,,15,16,,NA
,ThalerNear,4,7/27/2019,1756,1521,1652,8/6/2019,16,23,31,,15,16,,NA
,ThalerNear,5,7/27/2019,1756,1521,1652,8/6/2019,20,23,32,,15,16,,NA
,ThalerNear,6,7/27/2019,1756,1521,1652,8/6/2019,18,22,30,,15,16,,NA
,ThalerNear,7,7/27/2019,1756,1521,1652,8/6/2019,18,23,29,,15,16,,NA
,ThalerNear,8,7/27/2019,1756,1521,1652,8/6/2019,20,22,31,,15,16,,NA
,ThalerNear,9,7/27/2019,1756,1521,1652,8/6/2019,19,24,31,,15,16,,NA
