Beetle_ID,Sex,Species,Light,Temp,Chamber_Num,Location_Name,Date_Btl_Innoc,Time_Exp_Start,Num_Aphids_Before,Num_Aphids_Post,Date_Exp_Comp,Time_Exp_Comp,Notes,Treatment,Bin_Aphids_Remain,Binned_Remain,Trial
1,,C7,24,25,,Guterman56,5/7/2019,1535,30,1,5/8/2019,1525,,4,1,1,1
2,,C7,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,,4,0,0,1
3,,C7,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,eggs,4,0,0,1
4,,C7,24,25,,Guterman56,5/7/2019,1535,30,9,5/8/2019,1525,pred. died,4,1,1,1
5,,C7,24,25,,Guterman56,5/7/2019,1535,30,5,5/8/2019,1525,,4,1,1,1
6,,C7,24,15,,Guterman57,5/7/2019,1625,30,6,5/8/2019,1545,,2,1,1,1
7,,C7,24,15,,Guterman57,5/7/2019,1625,30,0,5/8/2019,1545,eggs,2,0,0,1
8,,C7,24,15,,Guterman57,5/7/2019,1625,30,19,5/8/2019,1545,,2,1,2,1
9,,C7,24,15,,Guterman57,5/7/2019,1625,30,13,5/8/2019,1545,,2,1,2,1
10,,C7,24,15,,Guterman57,5/7/2019,1625,30,5,5/8/2019,1545,,2,1,1,1
11,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
12,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
13,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
14,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
15,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
16,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,1,5/9/2019,1145,,1,1,1,1
17,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,1,5/9/2019,1145,,1,1,1,1
18,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,0,5/9/2019,1145,,1,0,0,1
19,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,1,5/9/2019,1145,,1,1,1,1
20,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,0,5/9/2019,1145,,1,0,0,1
21,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,7,5/9/2019,1324,,2,1,1,1
22,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,2,5/9/2019,1324,,2,1,1,1
23,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,0,5/9/2019,1324,,2,0,0,1
24,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,8,5/9/2019,1324,eggs,2,1,1,1
25,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,10,5/9/2019,1324,eggs,2,1,2,1
26,,C7,24,25,,ThalerLower,5/8/2019,1320,30,7,5/9/2019,1324,,4,1,1,1
27,,C7,24,25,,ThalerLower,5/8/2019,1320,30,2,5/9/2019,1324,,4,1,1,1
28,,C7,24,25,,ThalerLower,5/8/2019,1320,30,4,5/9/2019,1324,,4,1,1,1
29,,C7,24,25,,ThalerLower,5/8/2019,1320,30,0,5/9/2019,1324,,4,0,0,1
30,,C7,24,25,,ThalerLower,5/8/2019,1320,30,0,5/9/2019,1324,,4,0,0,1
31,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,25,5/10/2019,1435,,1,1,3,1
32,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,14,5/10/2019,1435,,1,1,2,1
33,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,18,5/10/2019,1435,,1,1,2,1
34,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,22,5/10/2019,1435,,1,1,3,1
35,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,8,5/10/2019,1435,,1,1,1,1
36,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,13,5/10/2019,1440,,3,1,2,1
37,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,0,5/10/2019,1440,,3,0,0,1
38,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,6,5/10/2019,1440,,3,1,1,1
39,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,1,5/10/2019,1440,,3,1,1,1
40,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,10,5/10/2019,1440,escaped,3,1,2,1
41,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,,4,0,0,1
42,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,,4,0,0,1
43,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,3,5/8/2019,1525,,4,1,1,1
44,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,5,5/8/2019,1525,,4,1,1,1
45,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,10,5/8/2019,1525,,4,1,2,1
46,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,15,5/8/2019,1545,,2,1,2,1
47,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,22,5/8/2019,1545,,2,1,3,1
48,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,16,5/8/2019,1545,,2,1,2,1
49,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,11,5/8/2019,1545,,2,1,2,1
50,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,19,5/8/2019,1545,,2,1,2,1
51,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
52,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
53,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
54,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
55,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
56,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,5,5/9/2019,1145,,1,1,1,1
57,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,11,5/9/2019,1145,,1,1,2,1
58,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,0,5/9/2019,1145,,1,0,0,1
59,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,4,5/9/2019,1145,,1,1,1,1
60,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,4,5/9/2019,1145,,1,1,1,1
